EEC_MEASURE;SEX;AGE;EMPFORM;EMPSTA;PCS;EDUC;IMMI;WKTIME;ACTIVITY;UNDEREMP;UNEMPDUR;COMPOHALO;ANCSORFI2;UNIT_MULT;OBS_STATUS;CONF_STATUS;FREQ;DECIMALS;TIME_PERIOD;OBS_VALUE
EMP;M;Y50T54;_T;1;53;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;50.8
EMP;M;Y50T64;_T;1;53;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;88.6
EMP;M;Y_GE65;_T;1;47;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;5.4
EMP;M;Y20T24;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;81.2
EMP;M;Y35T39;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;100.4
EMP;M;Y30T34;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;103.1
UNEMP;F;Y25T29;_T;2;_T;_T;22;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;108
EMP;M;Y60T64;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;22
EMP;M;Y_GE15;_T;1;40;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;3301.8
EMP;M;Y15T19;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;8.5
EMP;M;Y15T24;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;50.9
PT_AGE_IN_EMP_BY_PCS;_T;Y50T64;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;26.1
PT_AGE_IN_EMP_BY_PCS;_T;Y55T59;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;7.4
PT_AGE_IN_EMP_BY_PCS;_T;Y40T44;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;11.3
EMP;M;Y_GE65;_T;1;43;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;7.2
EMP;M;Y30T34;_T;1;37;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;123.9
EMP;M;Y30T34;_T;1;40;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;387.8
EMP;M;Y_GE15;_T;1;3_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;5.3
EMP;M;Y_GE15;_T;1;21;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;706.1
EMP;M;Y45T49;_T;1;31;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;33.3
PT_AGE_IN_EMP_BY_PCS;_T;Y50T64;_T;1;68;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;34.3
UNEMP;F;Y15T24;_T;2;_T;6T8;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;39
UNEMP;F;Y20T24;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;161.6
UNEMPRATE;M;Y50T64;_T;2;_T;3A;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;5.2
UNEMPB;F;Y30T34;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;3;A;F;A;;2023;11.2
UNEMP;_T;Y50T54;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;44
UNEMPRATE;F;Y15T74;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;11.5
UNEMP;M;Y15T24;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;24.7
PT_AGE_IN_EMP_BY_PCS;F;Y30T34;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.9
PT_AGE_IN_EMP_BY_PCS;F;Y20T24;_T;1;34;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;2.5
PT_AGE_IN_EMP_BY_PCS;F;Y25T29;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.4
PT_AGE_IN_EMP_BY_PCS;F;Y45T49;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;10.6
PT_AGE_IN_EMP_BY_PCS;_T;Y_GE65;_T;1;54;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1
PT_AGE_IN_EMP_BY_PCS;_T;Y55T59;_T;1;52;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;16.2
PT_AGE_IN_EMP_BY_PCS;_T;Y15T24;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;14
PT_AGE_IN_EMP_BY_PCS;_T;Y50T54;_T;1;22;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;12.9
PT_AGE_IN_EMP_BY_PCS;_T;Y30T34;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;7.2
PT_AGE_IN_EMP_BY_PCS;_T;Y15T24;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;14.8
EMP;_T;Y45T49;_T;1;35;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;47.1
EMP;_T;Y35T39;_T;1;5_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.4
EMP;_T;Y15T19;_T;1;4_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.4
